title,company_name,location,salary_extension,salary_unit,experience_required,education_required,skills,welfareList
golang开发工程师,明远生物科技(广...,肇庆,5-10K,月薪,1-3年,大专,Golang Gin Golang服务端开发经验,有无线网 餐补 带薪年假 全勤奖 意外险 免费工装 绩效奖金 年终奖 股票期权 五险一金 住房补贴 包住 补充医疗保险 节日福利 定期体检 交通补助 底薪加提成 宿舍有空调 法定节假日三薪
软件工程师/AI agent工程师,肇庆虾虾动漫文化,肇庆,8-13K,月薪,3-5年,学历不限,互联网/AI 软件工程师,
后端工程师,久游智行,肇庆,7-8K,月薪,1-3年,本科,Golang Docker Golang服务端开发经验 计算机相关专业 Python Kubernetes,
项目集成工程师,广东长高通信服务,肇庆,6-11K,月薪,1-3年,本科,运维工作经验 通信相关专业 计算机相关专业,
IT,肇庆创富,肇庆,4-6K,月薪,1-3年,大专,,包吃 餐补 工龄奖 节假日加班费 宿舍有空调 节日福利 生日福利 全勤奖
华为-软件工程师（统招本科/硕士）,华为技术有限公司,肇庆,15-30K·13薪,月薪,经验不限,本科,JavaScript React Vue,保底工资 节日福利 股票期权 免费班车 夜班补助 定期体检 员工旅游 法定节假日三薪 团建聚餐 节假日加班费 带薪年假 补充医疗保险 年终奖 加班补助 零食下午茶 绩效奖金 离职补偿 交通补助 生日福利 五险一金
Flutter全栈开发工程师（兼UI/交互设计方向,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,数据结构/算法能力 混合开发经验 大型项目开发经验 架构设计 多线程编程能力 计算机/软件工程相关专业 独立开发且上线经验 功能开发 架构能力 技术方案规划 性能优化 全栈开发经验 Flutter,
全栈工程师,明远生物科技(广...,肇庆,6-11K,月薪,1-3年,大专,Golang 后端开发经验 JavaScript 前端开发经验 全栈项目经验,意外险 宿舍有空调 法定节假日三薪 有无线网 带薪年假 包住 底薪加提成 交通补助 股票期权 全勤奖 定期体检 住房补贴 免费工装 补充医疗保险 年终奖 节日福利 餐补 五险一金 绩效奖金
Flutter全栈开发工程师（兼UI/交互设计方向,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Android开发经验 架构经验 架构设计/优化 数据结构/算法能力 Android客户端产品研发 Flutter 架构设计能力 计算机/软件工程相关专业,
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
Flutter全栈开发工程师（兼UI/交互设计方向,肇庆华阳云科信息科技,肇庆,8-12K,月薪,1-3年,大专,Java 不接受居家办公 Vue Node.js 计算机/软件工程相关专业 前端开发经验 架构师经验,
